Name,Author,CC0,BY,NC,SA,ND,CustomLicense,Link,Source,BPM,Time,Vocal,Drums(>50% of the time),Main Instrument,Generation(?),Feeling
MC Ballad X,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20X.mp3,FreePD,,2:54,,,,,
MC Ballad Y,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/MC%20Ballad%20Y.mp3,FreePD,,2:48,,,,,
New Age A Weathered,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20A%20Weathered.mp3,FreePD,,1:54,,,,,
New Age C Chimer,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20C%20Chimer.mp3,FreePD,,3:16,,,,,
New Age D Detective,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20D%20Detective.mp3,FreePD,,2:34,,,,,
New Age E Aspire,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20E%20Aspire.mp3,FreePD,,2:29,,,,,
New Age F Bender,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20F%20Bender.mp3,FreePD,,2:00,,,,,
New Age G Awful,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20G%20Awful.mp3,FreePD,,2:08,,,,,
New Age H Backer Ice,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20H%20Backer%20Ice.mp3,FreePD,,2:24,,,,,
New Age I Dissonant,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20I%20Dissonant.mp3,FreePD,,3:32,,,,,
New Age J Promise,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20J%20Promise.mp3,FreePD,,3:34,,,,,
New Age K Glow,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20K%20Glow.mp3,FreePD,,1:47,,,,,
New Age L Wood Synth,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20L%20Wood%20Synth.mp3,FreePD,,2:02,,,,,
New Age M Unspired,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20M%20Unspired.mp3,FreePD,,1:53,,,,,
New Age N Mysterion,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20N%20Mysterion.mp3,FreePD,,2:05,,,,,
New Age O Smoother,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20O%20Smoother.mp3,FreePD,,1:48,,,,,
New Age P Space Kudzu,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20P%20Space%20Kudzu.mp3,FreePD,,2:57,,,,,
New Age Q Glitter,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20Q%20Glitter.mp3,FreePD,,1:55,,,,,
New Age R Water Shine,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20R%20Water%20Shine.mp3,FreePD,,2:58,,,,,
New Age S Path to Light,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20S%20Path%20to%20Light.mp3,FreePD,,2:29,,,,,
New Age T Answered,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/New%20Age%20T%20Answered.mp3,FreePD,,1:46,,,,,
Ambient B,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Ambient%20B.mp3,FreePD,,4:06,,,,,
Dark Ambient,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Dark%20Ambient.mp3,FreePD,,4:56,,,,,
Fantastic Dim Bar,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Fantastic%20Dim%20Bar.mp3,FreePD,,3:09,,,,,
Horror Ambiance,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Horror%20Ambiance.mp3,FreePD,,3:40,,,,,
Imperfect Echoes,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Imperfect%20Echoes.mp3,FreePD,,4:34,,,,,
Music for Funeral Home - Part 1,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%201.mp3,FreePD,,2:45,,,,,
Music for Funeral Home - Part 2,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%202.mp3,FreePD,,3:19,,,,,
Music for Funeral Home - Part 3,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%203.mp3,FreePD,,1:36,,,,,
Music for Funeral Home - Part 4,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%204.mp3,FreePD,,2:09,,,,,
Music for Funeral Home - Part 5,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%205.mp3,FreePD,,2:23,,,,,
Music for Funeral Home - Part 6,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%206.mp3,FreePD,,2:05,,,,,
Music for Funeral Home - Part 7,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%207.mp3,FreePD,,4:05,,,,,
Music for Funeral Home - Part 8,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%208.mp3,FreePD,,1:50,,,,,
Music for Funeral Home - Part 9,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%209.mp3,FreePD,,1:41,,,,,
Music for Funeral Home - Part 10,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Music%20for%20Funeral%20Home%20-%20Part%2010.mp3,FreePD,,4:21,,,,,
Piece for Two Fingers,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Piece%20for%20Two%20Fingers.mp3,FreePD,,4:27,,,,,
Roquefort Prolog,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Roquefort%20Prolog.mp3,FreePD,,1:52,,,,,
Space Explorers,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Space%20Explorers.mp3,FreePD,,1:42,,,,,
Poing Dauphin,Monplaisir,,0,0,0,0,0,"https://freepd.com/Page2/music/Monplaisir%20-%20Bonjour%20from%20Paris,%20Nantes%20and%20Montreal%20-%2012%20Poing%20Dauphin.mp3",FreePD,,3:01,,,,,
Insert Flutter,statusq,,0,0,0,0,0,https://freepd.com/Page2/music/Insert%20Flutter.mp3,FreePD,,4:05,,,,,
